予約番号,実施日,提供会場枝番,明細枝番,予約宴会名称,主会場ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目名称,ﾊﾟｯｹｰｼﾞ商品ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ商品名称,科目ｺｰﾄﾞ,科目名称,商品ｺｰﾄﾞ,商品名称,単価,数量,請求金額(GROSS),請求金額(NET),請求金額(ｻｰﾋﾞｽ料),請求金額(消費税),割引名称,割引率,割引金額
"30537","2025/12/13","5","1","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250"," ",""," ","","R01","会場料収入","0018","鶴","141700.0000","1","113360.0000","103055.0000","0.0000","10305.0000","割引","20.00","28340.0000"
"30537","2025/12/13","5","2","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","4","0.0000","0.0000","0.0000","0.0000","割引","100.00","13200.0000"
"30537","2025/12/13","5","3","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250"," ",""," ","","M02","内部オプション(会議備品)","0064","司会台","3300.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","3300.0000"
"30537","2025/12/13","5","4","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250"," ",""," ","","M02","内部オプション(会議備品)","0067","音だし","1650.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","1650.0000"
"30537","2025/12/13","5","5","ＮＰＯ法人ＮＬＡ運動東海北陸地区実行委員会","250"," ",""," ","","M02","内部オプション(会議備品)","0024","ホワイトボード","1650.0000","4","0.0000","0.0000","0.0000","0.0000","割引","100.00","6600.0000"
"30540","2025/12/13","1","1","㈱ハタノ","180"," ",""," ","","B01","ご宴会お飲物","0003","飲み放題B(2時間)","2600.0000","73","189800.0000","156860.0000","15686.0000","17254.0000","","0.00","0.0000"
"30540","2025/12/13","1","2","㈱ハタノ","180"," ",""," ","","M03","内部オプション(宴会備品)","0002","ワイヤレスマイク(ご宴会)","3300.0000","2","0.0000","0.0000","0.0000","0.0000","割引","100.00","6600.0000"
"30540","2025/12/13","1","3","㈱ハタノ","180"," ",""," ","","R02","会場料収入(宴会)","0019","富士(1)","125300.0000","1","0.0000","0.0000","0.0000","0.0000","割引","100.00","125300.0000"
"30540","2025/12/13","9999","5","㈱ハタノ","180","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","8630.0000","73","629990.0000","521658.0000","51100.0000","57232.0000","","0.00","0.0000"
"30540","2025/12/13","1","5","㈱ハタノ","180","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","8470.0000","73","618310.0000","511000.0000","51100.0000","56210.0000","","0.00","0.0000"
"30540","2025/12/13","1","5","㈱ハタノ","180","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","73","11680.0000","10658.0000","0.0000","1022.0000","","0.00","0.0000"
"30540","2025/12/13","1","6","㈱ハタノ","180"," ",""," ","","M06","外部オプション(コンパ)","0001","コンパニオン","19800.0000","8","158400.0000","144000.0000","0.0000","14400.0000","","0.00","0.0000"
"30540","2025/12/13","1","8","㈱ハタノ","180"," ",""," ","","B01","ご宴会お飲物","1002","ビール（中瓶）","944.0000","2","1888.0000","1561.0000","156.0000","171.0000","","0.00","0.0000"
"30540","2025/12/13","1","11","㈱ハタノ","180"," ",""," ","","990","標準税率消費税調整","0001","標準税率消費税調整","41.0000","1","41.0000","0.0000","0.0000","41.0000","","0.00","0.0000"
"30540","2025/12/13","1","12","㈱ハタノ","180"," ",""," ","","991","標準税率課税調整","0001","標準税率課税調整","41.0000","-1","-41.0000","-41.0000","0.0000","0.0000","","0.00","0.0000"
"31498","2025/12/13","1","1","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","1002","ビール（中瓶）","665.0000","40","26600.0000","21984.0000","2198.0000","2418.0000","","0.00","0.0000"
"31498","2025/12/13","1","2","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","1004","日本酒","605.0000","8","4840.0000","4000.0000","400.0000","440.0000","","0.00","0.0000"
"31498","2025/12/13","1","3","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","1007","焼酎(ボトル)","2662.0000","2","5324.0000","4400.0000","440.0000","484.0000","","0.00","0.0000"
"31498","2025/12/13","1","4","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","1999","梅酒","483.0000","5","2415.0000","1997.0000","199.0000","219.0000","","0.00","0.0000"
"31498","2025/12/13","1","5","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","2002","烏龍茶","363.0000","50","18150.0000","15000.0000","1500.0000","1650.0000","","0.00","0.0000"
"31498","2025/12/13","1","6","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","2004","ジュース","363.0000","5","1815.0000","1500.0000","150.0000","165.0000","","0.00","0.0000"
"31498","2025/12/13","1","7","愛商連　　　（押さえ）","200"," ",""," ","","B01","ご宴会お飲物","2005","ジンジャー","363.0000","1","363.0000","300.0000","30.0000","33.0000","","0.00","0.0000"
"31498","2025/12/13","1","8","愛商連　　　（押さえ）","200"," ",""," ","","M06","外部オプション(コンパ)","0001","コンパニオン","15400.0000","5","77000.0000","70000.0000","0.0000","7000.0000","","0.00","0.0000"
"31498","2025/12/13","9999","9","愛商連　　　（押さえ）","200","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","6210.0000","60","372600.0000","308760.0000","30000.0000","33840.0000","","0.00","0.0000"
"31498","2025/12/13","1","9","愛商連　　　（押さえ）","200","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","6050.0000","60","363000.0000","300000.0000","30000.0000","33000.0000","","0.00","0.0000"
"31498","2025/12/13","1","9","愛商連　　　（押さえ）","200","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","60","9600.0000","8760.0000","0.0000","840.0000","","0.00","0.0000"
"31903","2025/12/23","1","1","冬季新人ワープロ競技会","290"," ",""," ","","R01","会場料収入","0019","紬","179200.0000","1","179200.0000","162910.0000","0.0000","16290.0000","","0.00","0.0000"
"31903","2025/12/23","1","2","冬季新人ワープロ競技会","290"," ",""," ","","R01","会場料収入","0025","橘","25100.0000","1","25100.0000","22819.0000","0.0000","2281.0000","","0.00","0.0000"
"31903","2025/12/23","1","4","冬季新人ワープロ競技会","290"," ",""," ","","R01","会場料収入","0019","紬","179200.0000","1","179200.0000","162910.0000","0.0000","16290.0000","","0.00","0.0000"
"31903","2025/12/23","1","5","冬季新人ワープロ競技会","290"," ",""," ","","R01","会場料収入","0025","橘","25100.0000","1","25100.0000","22819.0000","0.0000","2281.0000","","0.00","0.0000"
"31903","2025/12/23","8","7","冬季新人ワープロ競技会","290"," ",""," ","","F03","宴会別注・お子様料理・構成用","0008","和食","2500.0000","17","42500.0000","35125.0000","3512.0000","3863.0000","","0.00","0.0000"
"31903","2025/12/23","1","8","冬季新人ワープロ競技会","290"," ",""," ","","R01","会場料収入","0019","紬","179200.0000","1","134400.0000","122182.0000","0.0000","12218.0000","割引","25.00","44800.0000"
"31903","2025/12/23","1","9","冬季新人ワープロ競技会","290"," ",""," ","","R01","会場料収入","0025","橘","25100.0000","1","25100.0000","22819.0000","0.0000","2281.0000","","0.00","0.0000"
"31903","2025/12/23","9999","10","冬季新人ワープロ競技会","290","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","5000.0000","23","115000.0000","95358.0000","9200.0000","10442.0000","","0.00","0.0000"
"31903","2025/12/23","8","10","冬季新人ワープロ競技会","290","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","4840.0000","23","111320.0000","92000.0000","9200.0000","10120.0000","","0.00","0.0000"
"31903","2025/12/23","8","10","冬季新人ワープロ競技会","290","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","23","3680.0000","3358.0000","0.0000","322.0000","","0.00","0.0000"
"31946","2026/01/14","18","19","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0024","楓","68500.0000","1","68500.0000","62273.0000","0.0000","6227.0000","","0.00","0.0000"
"31946","2026/01/14","19","20","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0025","橘","78700.0000","1","78700.0000","71546.0000","0.0000","7154.0000","","0.00","0.0000"
"31946","2026/01/14","20","21","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","M10","ミスク(会議ミスク)","0020","外注弁当(紙箱,パック茶付)","1650.0000","10","16500.0000","15000.0000","0.0000","1500.0000","","0.00","0.0000"
"31946","2026/01/14","18","22","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","M02","内部オプション(会議備品)","0072","ワイヤレスマイク","3300.0000","2","6600.0000","6000.0000","0.0000","600.0000","","0.00","0.0000"
"31946","2026/01/14","18","23","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","M02","内部オプション(会議備品)","0001","スクリーン(1800×1800)","3300.0000","1","3300.0000","3000.0000","0.0000","300.0000","","0.00","0.0000"
"31946","2026/01/14","18","24","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","M02","内部オプション(会議備品)","0008","プロジェクター(3000～3500lm)","33000.0000","1","33000.0000","30000.0000","0.0000","3000.0000","","0.00","0.0000"
"31946","2026/01/14","18","25","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0025","橘","78700.0000","1","78700.0000","71546.0000","0.0000","7154.0000","","0.00","0.0000"
"31946","2026/01/14","18","26","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0024","楓","262500.0000","1","262500.0000","238637.0000","0.0000","23863.0000","","0.00","0.0000"
"31946","2026/01/14","18","27","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0026","葵","78700.0000","1","78700.0000","71546.0000","0.0000","7154.0000","","0.00","0.0000"
"31946","2026/01/14","18","28","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0021","紬(2)","180000.0000","1","180000.0000","163637.0000","0.0000","16363.0000","","0.00","0.0000"
"31946","2026/01/14","18","29","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0018","鶴","473000.0000","1","473000.0000","430000.0000","0.0000","43000.0000","","0.00","0.0000"
"31946","2026/01/14","9999","30","日本中学校体育連盟研究大会愛知大会","340","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","6210.0000","60","372600.0000","308760.0000","30000.0000","33840.0000","","0.00","0.0000"
"31946","2026/01/14","27","30","日本中学校体育連盟研究大会愛知大会","340","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","6050.0000","60","363000.0000","300000.0000","30000.0000","33000.0000","","0.00","0.0000"
"31946","2026/01/14","27","30","日本中学校体育連盟研究大会愛知大会","340","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","60","9600.0000","8760.0000","0.0000","840.0000","","0.00","0.0000"
"31946","2026/01/14","27","31","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","B01","ご宴会お飲物","0002","飲み放題A(2時間)","2200.0000","60","132000.0000","109091.0000","10909.0000","12000.0000","","0.00","0.0000"
"31946","2026/01/14","18","32","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R02","会場料収入(宴会)","0006","鶴(2)","108500.0000","1","54250.0000","49319.0000","0.0000","4931.0000","割引","50.00","54250.0000"
"31946","2026/01/14","18","33","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0016","鶴(1)","82400.0000","1","82400.0000","74910.0000","0.0000","7490.0000","","0.00","0.0000"
"31946","2026/01/14","18","34","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0017","鶴(2)","151900.0000","1","151900.0000","138091.0000","0.0000","13809.0000","","0.00","0.0000"
"31946","2026/01/14","18","35","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0020","紬(1)","109000.0000","1","109000.0000","99091.0000","0.0000","9909.0000","","0.00","0.0000"
"31946","2026/01/14","18","36","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0021","紬(2)","99300.0000","1","99300.0000","90273.0000","0.0000","9027.0000","","0.00","0.0000"
"31946","2026/01/14","18","37","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0025","橘","43700.0000","1","43700.0000","39728.0000","0.0000","3972.0000","","0.00","0.0000"
"31946","2026/01/14","18","38","日本中学校体育連盟研究大会愛知大会","340"," ",""," ","","R01","会場料収入","0024","楓","180000.0000","1","180000.0000","163637.0000","0.0000","16363.0000","","0.00","0.0000"
