予約番号,実施日,提供会場枝番,明細枝番,予約宴会名称,主会場ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ科目名称,ﾊﾟｯｹｰｼﾞ商品ｺｰﾄﾞ,ﾊﾟｯｹｰｼﾞ商品名称,科目ｺｰﾄﾞ,科目名称,商品ｺｰﾄﾞ,商品名称,単価,数量,請求金額(GROSS),請求金額(NET),請求金額(ｻｰﾋﾞｽ料),請求金額(消費税),割引名称,割引率,割引金額
"34686","2027/03/06","9999","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","6210.0000","120","745200.0000","617520.0000","60000.0000","67680.0000","","0.00","0.0000"
"34686","2027/03/06","1","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","6050.0000","120","726000.0000","600000.0000","60000.0000","66000.0000","","0.00","0.0000"
"34686","2027/03/06","1","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","120","19200.0000","17520.0000","0.0000","1680.0000","","0.00","0.0000"
"34686","2027/03/06","1","2","トヨタ押さえ","170"," ",""," ","","B01","ご宴会お飲物","0002","飲み放題A(2時間)","2200.0000","120","264000.0000","218182.0000","21818.0000","24000.0000","","0.00","0.0000"
"34686","2027/03/06","1","3","トヨタ押さえ","170"," ",""," ","","R02","会場料収入(宴会)","0018","富士","191300.0000","1","95650.0000","86955.0000","0.0000","8695.0000","割引","50.00","95650.0000"
"34687","2027/03/13","9999","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","6210.0000","120","745200.0000","617520.0000","60000.0000","67680.0000","","0.00","0.0000"
"34687","2027/03/13","1","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","6050.0000","120","726000.0000","600000.0000","60000.0000","66000.0000","","0.00","0.0000"
"34687","2027/03/13","1","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","120","19200.0000","17520.0000","0.0000","1680.0000","","0.00","0.0000"
"34687","2027/03/13","1","2","トヨタ押さえ","170"," ",""," ","","B01","ご宴会お飲物","0002","飲み放題A(2時間)","2200.0000","120","264000.0000","218182.0000","21818.0000","24000.0000","","0.00","0.0000"
"34687","2027/03/13","1","3","トヨタ押さえ","170"," ",""," ","","R02","会場料収入(宴会)","0018","富士","191300.0000","1","95650.0000","86955.0000","0.0000","8695.0000","割引","50.00","95650.0000"
"34688","2027/03/20","9999","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","6210.0000","120","745200.0000","617520.0000","60000.0000","67680.0000","","0.00","0.0000"
"34688","2027/03/20","1","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","F03","宴会別注・お子様料理・構成用","0009","(和)折衷/立食/プラン構成用","6050.0000","120","726000.0000","600000.0000","60000.0000","66000.0000","","0.00","0.0000"
"34688","2027/03/20","1","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)","R02","会場料収入(宴会)","0017","宴会場費(コロナ対策料名称変更)","160.0000","120","19200.0000","17520.0000","0.0000","1680.0000","","0.00","0.0000"
"34688","2027/03/20","1","2","トヨタ押さえ","170"," ",""," ","","B01","ご宴会お飲物","0002","飲み放題A(2時間)","2200.0000","120","264000.0000","218182.0000","21818.0000","24000.0000","","0.00","0.0000"
"34688","2027/03/20","1","3","トヨタ押さえ","170"," ",""," ","","R02","会場料収入(宴会)","0018","富士","191300.0000","1","95650.0000","86955.0000","0.0000","8695.0000","割引","50.00","95650.0000"
"34689","2027/03/27","9999","1","トヨタ押さえ","170","F05","折衷会席風ご宴会お料理(個々盛","0013","ご宴会お料理(個々盛り)"," ",""," ","ご宴会お料理(個々盛り)","6210.0000","120","745200.0000","617520.0000","60000.0000","67680.0000","","0.00","0.0000"
